id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6599485,Cambridge  Harvard Comfortable Room,6438360,John,,Neighborhood Nine,42.38461,-71.135,Private room,55,1,220,2022-11-16,2.43,1,21,12,
6662157,Sunny+Spacious +AC/walk to T Davis/Porter/Harvard,30719211,Zazy & Georges,,North Cambridge,42.39277,-71.13114,Entire home/apt,428,2,212,2022-12-16,2.30,1,336,47,STR-13333
6847242,Smack dab between Harvard+Porter 2,35879509,Connie,,Neighborhood Nine,42.38469,-71.12199,Private room,110,2,216,2022-12-08,2.41,2,131,37,STR-48801
6947733,Smack dab between Harvard + Porter!,35879509,Connie,,Neighborhood Nine,42.38321,-71.12094,Private room,110,2,197,2022-10-24,2.16,2,124,5,STR-48801
6949378,Spacious 2BR | Kitchen |Work Desk | Kendall Square,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,475,31,17,2018-10-13,0.19,8,365,0,C0281180491
7007117,Room near Alewife Red Line T stop.,21745230,Jurek,,North Cambridge,42.39479,-71.13499,Private room,95,3,68,2022-11-24,0.75,5,357,25,STR-13517
7094503,"Steps away from Harvard, Inman Sq",34862036,Purnima,,Mid-Cambridge,42.37283,-71.10458,Private room,96,1,235,2022-12-11,2.59,1,24,42,
7401198,Convenient & Cozy in Cambridgeport,90117,Poppy,,Cambridgeport,42.35647,-71.10564,Private room,113,2,72,2021-10-31,0.81,1,59,0,
7415807,Cambridge Single Family -- Families and Pets!,4792976,Laurie,,North Cambridge,42.3959,-71.13225,Entire home/apt,729,5,4,2022-05-29,0.07,1,0,1,C0144620491
7490808,Cozy Room 10min from MIT/Harvard,26994991,Coni,,East Cambridge,42.37136,-71.08008,Private room,65,91,1,2015-08-28,0.01,2,0,0,
7508244,PrivateRoom 10min MIT/Harvard !!!,26994991,Coni,,East Cambridge,42.37191,-71.08014,Private room,65,91,2,2015-08-16,0.02,2,0,0,
7729257,Big sunny artist's 1BR near Harvard,3402394,Case,,Mid-Cambridge,42.3751,-71.1059,Entire home/apt,150,32,63,2022-11-12,0.71,2,60,3,
7774831,Charming house in Cambridge C33W,12576232,Thomas,,The Port,42.36898,-71.09753,Private room,50,32,11,2020-11-25,0.14,6,306,0,ROT-17388708-004
7843046,"Your Own Private Bedroom, Bathroom & Living Room",3917069,Karl,,North Cambridge,42.39436,-71.12963,Private room,149,3,161,2022-06-05,1.84,2,1,5,15213091-005
7872594,Charming 1 bed loft-Walk to Harvard,40531643,Dawn,,Mid-Cambridge,42.37346,-71.10526,Entire home/apt,129,90,35,2022-08-27,0.39,4,214,5,
7881324,Bright Loft-Walk to Harvard,40531643,Dawn,,Mid-Cambridge,42.37464,-71.10695,Entire home/apt,129,90,30,2022-11-01,0.35,4,164,4,ROC-11947704-005
7883909,Walk to Harvard- modern studio,40531643,Dawn,,Mid-Cambridge,42.37544,-71.10703,Entire home/apt,161,90,26,2022-12-19,0.30,4,220,4,ROC-11947704-005
7886699,New Modern Studio-Walk to Harvard,40531643,Dawn,,Mid-Cambridge,42.37526,-71.1066,Entire home/apt,110,90,34,2022-08-27,0.40,4,183,5,ROC-11947704-005
8053796,Harvard Squares ONLY Tiny House on the Charles!,10825995,Mike,,Riverside,42.36398,-71.11554,Entire home/apt,105,91,0,,,1,61,0,
8059830,2Br Harvard/Fresh Pond Lux Apt,21631889,Ling Yi,,West Cambridge,42.38645,-71.14064,Entire home/apt,280,75,47,2022-09-03,0.53,12,262,4,C0194080491
8064641,Spacious+ Clean 1BR | Work Desk | Kendall Square,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,5,2018-10-10,0.06,8,365,0,C0281180491
8100480,Mid-Cambridge Apt in Great location,16907229,Gina,,Mid-Cambridge,42.36875,-71.10541,Entire home/apt,109,30,69,2022-12-01,0.80,1,38,5,
8129338,7 minute walk to Boston & subway,42927628,Gema,,East Cambridge,42.36958,-71.08429,Private room,117,3,238,2022-11-19,2.68,4,341,37,C0193080491
8151702,Top flr lux apt near MIT/Harvard,21631889,Ling Yi,,The Port,42.36763,-71.09655,Entire home/apt,290,75,70,2022-05-22,0.79,12,151,1,C0194080491
8200278,"Steps to Harvard Square, Walk to MIT/ Boston",3668535,Jonas,,Mid-Cambridge,42.37312,-71.11207,Private room,120,2,14,2022-10-18,0.17,3,87,4,C0191060491
8308744,"Private room and bath, walk to Harvard & MIT",43805765,Ruma,,Cambridgeport,42.36307,-71.11065,Private room,95,3,101,2022-12-19,1.26,1,199,20,
8482368,Beautiful oasis on Cambridge border,44673331,Joyce,,Strawberry Hill,42.38557,-71.15974,Entire home/apt,195,2,18,2020-03-04,0.21,1,20,0,
8758789,Free 2 car parking at this perfect location,22020193,Sharon,,The Port,42.36868,-71.09875,Entire home/apt,238,1,541,2022-12-17,6.18,1,297,64,C0180120491
